#   T / °C      I / 10^-11 A    t / min
# Temperatur        Strom          Zeit
-59.2  -0.016    0
-57.8  -0.009    1
-56.4  -0.001    2
-54.8   0.0125   3
-53.4   0.051    4
-51.9   0.069    5
-50.3   0.075    6
-48.6   0.046    7
-47    -0.008    8
-45.3   0.009    9
-43.7   0.024    10
-42.1   0.003    11
-40.5   0.01     12
-38.8   0.0235   13
-37.3   0.039    14
-35.8   0.057    15
-34.3   0.078    16
-32.8   0.12     17
-31.3   0.135    18
-30.2   0.165    19
-28.7   0.23     20
-27.2   0.255    21
-25.7   0.31     22
-24.2   0.37     23
-22.7   0.445    24
-21.5   0.515    25
-19.7   0.585    26
-18.3   0.64     27
-17     0.665    28
-15.5   0.7      29
-14.2   0.69     30
-13     0.66     31
-11.6   0.605    32
-10.4   0.54     33
-9      0.47     34
-7.7    0.4      35
-6.4    0.345    36
-5.2    0.3      37
-3.7    0.28     38
-2.2    0.265    39
-0.8    0.26     40
 0.6    0.275    41
 2.0    0.29     42
 3.3    0.305    43
 4.6    0.32     44
 5.9    0.35     45
 7.2    0.38     46
 8.6    0.41     47
 9.9    0.44     48
 11.2   0.48     49
 12.4   0.52     50
 13.7   0.57     51
 15.1   0.64     52
 16.5   0.71     53
 17.9   0.8      54
 19.3   0.9      55
 20.7   1.05     56
 22     1.25     57
 23.3   1.3      58
 24.7   1.47     59
 26.1   1.6      60
 27.4   1.88     61
 28.9   2.1      62
 30.1   2.35     63
 31.6   2.65     64
 33     2.85     65
 34.4   3.15     66
 35.9   3.4      67
 37.4   3.61     68
 38.7   3.65     69
 40     3.85     70
 41.5   3.9      71
 42.8   3.8      72
 44.2   3.62     73
 45.5   3.5      74
 46.7   3.3      75
 48.2   3.07     76
 49.6   2.85     77
 51.1   2.63     78   





