#   T / °C      I / 10^-11 A    t / min
# Temperatur        Strom          Zeit
-53     0.04    0
-51.1   0.1     1
-49.2   0.08    2
-47.2   0.04    3
-45     0.015   4
-42.2   0.02    5
-40.4   0.028   6
-38.3   0.0405  7
-36.4   0.058   8
-34.5   0.081   9
-32.8   0.12    10
-30.9   0.145   11
-29.2   0.19    12
-27.3   0.255   13
-25.4   0.33    14
-23.3   0.42    15
-21.4   0.525   16
-19.2   0.64    17
-17.4   0.735   18
-15.5   0.81    19
-13.6   0.84    20
-11.7   0.82    21
-9.7    0.75    22
-7.9    0.655   23
-6.2    0.55    24
-4.6    0.455   25
-2.7    0.4     26
-0.7    0.38    27
1.2     0.395   28
3.2     0.438   29
5.2     0.47    30
7.1     0.53    31
9.1     0.55    32
11      0.655   33
12.6    0.75    34
14.4    0.85    35
16.2    0.97    36
18      1.1     37
19.8    1.25    38
21.5    1.45    39
23.3    1.65    40
25.2    1.9     41
27      2.2     42
28.8    2.55    43
29.9    2.98    44
32      3.5     45
34.3    4.2     46
37.1    5       47
39.5    5.8     48
41.8     6.3     49
44.9    6.45    50
46.7    6.3     51
48.5    5.8     52
50.1    5.15    53
51.2    4.5     54











